user_id,campaign_type,engaged,conversion
U1054337,Cashback,No,No
U1020864,Cashback,Yes,No
U1067539,Discount,No,No
U1085735,Cashback,No,Yes
U1083590,Cashback,Yes,No
U1068591,Personalized Offer,No,Yes
U1060343,Discount,Yes,No
U1082899,Personalized Offer,No,No
U1085494,Referral,Yes,Yes
U1062541,Personalized Offer,Yes,No
U1053036,Cashback,Yes,No
U1045770,Discount,Yes,No
U1015532,Cashback,Yes,No
U1020544,Personalized Offer,No,Yes
U1073998,Personalized Offer,Yes,No
U1098382,Cashback,Yes,No
U1081360,Discount,No,No
U1070079,Cashback,Yes,No
U1008794,Discount,Yes,No
U1075142,Personalized Offer,Yes,No
U1066044,Discount,Yes,Yes
U1038294,Cashback,No,No
U1058471,Personalized Offer,No,Yes
U1070816,Cashback,Yes,No
U1027008,Personalized Offer,No,No
U1093130,Referral,Yes,Yes
U1062045,Cashback,Yes,No
U1040297,Personalized Offer,No,Yes
U1020529,Discount,Yes,No
U1013307,Discount,Yes,No
U1017447,Referral,Yes,No
U1017251,Personalized Offer,No,No
U1064540,Personalized Offer,Yes,Yes
U1070987,Cashback,No,Yes
U1083772,Referral,No,Yes
U1074174,Personalized Offer,Yes,No
U1054727,Referral,Yes,Yes
U1018727,Referral,Yes,No
U1065243,Cashback,No,Yes
U1072822,Personalized Offer,Yes,No
U1045920,Discount,No,No
U1017401,Cashback,Yes,No
U1072484,Discount,No,Yes
U1088862,Cashback,No,No
U1016980,Cashback,Yes,No
U1099620,Cashback,No,No
U1041438,Discount,Yes,No
U1006697,Cashback,Yes,Yes
U1009144,Referral,No,Yes
U1079028,Personalized Offer,Yes,Yes
U1011521,Referral,Yes,No
U1087052,Personalized Offer,Yes,No
U1045839,Discount,Yes,No
U1096424,Personalized Offer,Yes,No
U1028487,Discount,Yes,Yes
U1082307,Referral,Yes,Yes
U1057356,Personalized Offer,Yes,Yes
U1065647,Discount,No,No
U1052999,Referral,Yes,No
U1033948,Cashback,No,No
U1056482,Referral,No,No
U1061833,Discount,No,No
U1018253,Discount,No,No
U1087964,Personalized Offer,No,No
U1004372,Referral,Yes,No
U1047375,Cashback,Yes,No
U1087568,Personalized Offer,Yes,No
U1076010,Personalized Offer,Yes,Yes
U1007173,Referral,No,Yes
U1046875,Personalized Offer,Yes,No
U1002594,Discount,No,Yes
U1032362,Discount,Yes,No
U1081465,Referral,No,Yes
U1013412,Discount,Yes,No
U1040278,Cashback,Yes,No
U1010498,Personalized Offer,Yes,Yes
U1079578,Discount,Yes,No
U1037038,Cashback,No,No
U1004360,Discount,Yes,No
U1036491,Cashback,Yes,No
U1048213,Discount,No,Yes
U1069193,Discount,Yes,No
U1051317,Cashback,No,No
U1070224,Discount,No,Yes
U1023333,Personalized Offer,No,No
U1020496,Personalized Offer,No,Yes
U1088969,Personalized Offer,Yes,No
U1018887,Cashback,No,Yes
U1062134,Discount,Yes,No
U1054573,Discount,Yes,Yes
U1064040,Cashback,No,Yes
U1042051,Referral,Yes,Yes
U1074085,Discount,Yes,No
U1089071,Referral,Yes,No
U1059751,Cashback,Yes,No
U1099837,Discount,Yes,Yes
U1045730,Referral,Yes,No
U1052489,Personalized Offer,Yes,No
U1068446,Personalized Offer,Yes,No
U1090760,Discount,Yes,Yes
U1096206,Personalized Offer,Yes,Yes
U1059645,Personalized Offer,No,No
U1058152,Referral,Yes,Yes
U1077589,Personalized Offer,Yes,Yes
U1019344,Referral,Yes,No
U1050454,Referral,Yes,No
U1042324,Cashback,No,Yes
U1062579,Discount,Yes,No
U1088552,Discount,Yes,No
U1086495,Cashback,Yes,Yes
U1013692,Discount,Yes,No
U1025757,Personalized Offer,Yes,No
U1022102,Personalized Offer,Yes,No
U1053843,Personalized Offer,No,Yes
U1095620,Cashback,No,No
U1078485,Discount,Yes,No
U1045436,Personalized Offer,Yes,No
U1048849,Referral,No,Yes
U1023227,Cashback,Yes,No
U1078846,Discount,No,No
U1010600,Personalized Offer,Yes,No
U1050477,Referral,No,No
U1033981,Personalized Offer,Yes,No
U1029179,Cashback,Yes,Yes
U1052861,Cashback,No,No
U1063090,Referral,Yes,No
U1050632,Cashback,No,Yes
U1056165,Personalized Offer,Yes,No
U1009085,Referral,Yes,Yes
U1041308,Personalized Offer,Yes,No
U1025078,Personalized Offer,No,Yes
U1067142,Personalized Offer,Yes,No
U1084764,Cashback,Yes,No
U1088301,Personalized Offer,Yes,No
U1029425,Referral,Yes,Yes
U1065909,Referral,No,No
U1059936,Referral,No,Yes
U1082463,Personalized Offer,Yes,Yes
U1086833,Personalized Offer,No,Yes
U1045757,Discount,Yes,No
U1031410,Referral,No,No
U1040719,Discount,Yes,No
U1077121,Discount,Yes,No
U1021651,Personalized Offer,No,Yes
U1068322,Referral,Yes,Yes
U1039400,Discount,Yes,Yes
U1091832,Discount,No,No
U1060081,Personalized Offer,Yes,No
U1066311,Referral,No,No
U1097793,Referral,Yes,Yes
U1094687,Cashback,Yes,No
U1064292,Cashback,Yes,No
U1068228,Discount,Yes,Yes
U1060116,Discount,No,Yes
U1017749,Discount,No,Yes
U1060964,Referral,Yes,No
U1047608,Cashback,Yes,No
U1093538,Cashback,Yes,No
U1050570,Personalized Offer,No,Yes
U1027646,Referral,Yes,No
U1039278,Referral,No,No
U1031876,Cashback,Yes,No
U1083670,Cashback,No,Yes
U1078435,Discount,Yes,No
U1055421,Referral,Yes,Yes
U1065043,Personalized Offer,Yes,Yes
U1062892,Cashback,Yes,No
U1006721,Cashback,Yes,Yes
U1001677,Discount,No,No
U1067377,Referral,Yes,Yes
U1011863,Referral,Yes,Yes
U1021683,Referral,No,No
U1071327,Cashback,Yes,Yes
U1053337,Personalized Offer,Yes,No
U1056850,Cashback,Yes,Yes
U1097312,Discount,Yes,Yes
U1081963,Discount,No,Yes
U1030926,Cashback,No,Yes
U1098175,Referral,Yes,Yes
U1040699,Discount,Yes,No
U1061478,Personalized Offer,Yes,No
U1021279,Cashback,No,No
U1051154,Personalized Offer,No,Yes
U1020339,Discount,Yes,No
U1020015,Discount,Yes,No
U1080228,Referral,Yes,Yes
U1043307,Discount,Yes,No
U1021600,Cashback,No,Yes
U1015013,Personalized Offer,Yes,No
U1039848,Discount,No,No
U1056586,Discount,Yes,No
U1058757,Referral,No,No
U1006593,Referral,No,Yes
U1012490,Cashback,No,No
U1068245,Referral,Yes,Yes
