ticket_id,user_id,issue_type,resolved,response_time_days
S0,U1074915,Payment Failure,Yes,3
S1,U1074383,Payment Failure,Yes,6
S2,U1088557,App Crash,No,8
S3,U1049769,App Crash,Yes,9
S4,U1041026,Payment Failure,Yes,1
S5,U1075594,Payment Failure,No,5
S6,U1041814,Refund Delay,Yes,2
S7,U1062753,Payment Failure,Yes,1
S8,U1026496,App Crash,No,9
S9,U1041196,Payment Failure,Yes,5
S10,U1077959,Login Issue,Yes,9
S11,U1063097,Payment Failure,Yes,9
S12,U1037181,Refund Delay,Yes,1
S13,U1027687,Refund Delay,Yes,8
S14,U1081402,Login Issue,No,4
S15,U1061131,App Crash,Yes,7
S16,U1063987,Payment Failure,Yes,1
S17,U1027305,Payment Failure,Yes,1
S18,U1017933,Payment Failure,Yes,4
S19,U1096459,Login Issue,Yes,4
S20,U1044778,App Crash,Yes,4
S21,U1030707,Login Issue,Yes,6
S22,U1045423,Refund Delay,No,4
S23,U1094192,Refund Delay,Yes,4
S24,U1096441,Payment Failure,Yes,7
S25,U1007135,Refund Delay,Yes,7
S26,U1081209,Payment Failure,Yes,8
S27,U1040536,App Crash,No,1
S28,U1040698,App Crash,Yes,5
S29,U1075715,Refund Delay,Yes,6
S30,U1018643,Refund Delay,Yes,1
S31,U1055744,App Crash,Yes,6
S32,U1063966,Payment Failure,Yes,2
S33,U1064598,Refund Delay,Yes,8
S34,U1038463,Login Issue,Yes,7
S35,U1055088,App Crash,Yes,2
S36,U1052917,Refund Delay,Yes,8
S37,U1002172,Payment Failure,Yes,1
S38,U1014747,Login Issue,Yes,9
S39,U1008174,Payment Failure,Yes,8
S40,U1036107,Login Issue,No,4
S41,U1023998,Refund Delay,Yes,9
S42,U1004812,Login Issue,No,2
S43,U1071659,Login Issue,Yes,5
S44,U1063644,App Crash,Yes,9
S45,U1072600,App Crash,Yes,5
S46,U1004649,Payment Failure,Yes,8
S47,U1070868,Payment Failure,Yes,5
S48,U1048192,App Crash,Yes,9
S49,U1036637,App Crash,Yes,6
S50,U1094527,Refund Delay,Yes,8
S51,U1007392,Payment Failure,Yes,3
S52,U1032920,Login Issue,No,2
S53,U1050654,App Crash,Yes,9
S54,U1074224,Refund Delay,Yes,2
S55,U1006388,App Crash,Yes,9
S56,U1031949,App Crash,Yes,7
S57,U1018019,Payment Failure,Yes,6
S58,U1063618,App Crash,Yes,6
S59,U1003943,Payment Failure,Yes,5
S60,U1048484,App Crash,Yes,6
S61,U1086746,App Crash,Yes,2
S62,U1094366,Payment Failure,Yes,6
S63,U1018031,Payment Failure,Yes,7
S64,U1024427,Payment Failure,No,4
S65,U1092869,Login Issue,Yes,7
S66,U1065149,Payment Failure,Yes,9
S67,U1053011,App Crash,Yes,9
S68,U1016951,Login Issue,Yes,2
S69,U1063294,Payment Failure,No,9
S70,U1042191,Refund Delay,Yes,8
S71,U1012205,Refund Delay,Yes,9
S72,U1075466,Refund Delay,Yes,7
S73,U1062377,Payment Failure,Yes,9
S74,U1055590,Login Issue,Yes,1
S75,U1094693,Payment Failure,Yes,9
S76,U1078095,Payment Failure,Yes,2
S77,U1088860,Payment Failure,Yes,8
S78,U1050424,Payment Failure,Yes,1
S79,U1077881,Refund Delay,Yes,6
S80,U1084505,Login Issue,Yes,8
S81,U1056506,Payment Failure,Yes,5
S82,U1019274,App Crash,Yes,8
S83,U1046384,Payment Failure,Yes,7
S84,U1030688,Payment Failure,Yes,5
S85,U1030888,Login Issue,Yes,7
S86,U1002727,Login Issue,Yes,9
S87,U1009462,Login Issue,Yes,6
S88,U1092575,Refund Delay,Yes,5
S89,U1007410,Login Issue,Yes,2
S90,U1088152,App Crash,Yes,1
S91,U1001908,Login Issue,Yes,3
S92,U1027261,Payment Failure,Yes,7
S93,U1013362,Refund Delay,Yes,9
S94,U1071113,Refund Delay,No,7
S95,U1090940,Refund Delay,Yes,4
S96,U1082019,Payment Failure,Yes,4
S97,U1016019,Payment Failure,Yes,9
S98,U1002135,Refund Delay,Yes,8
S99,U1056377,Refund Delay,No,1
S100,U1020654,Payment Failure,Yes,3
S101,U1029336,Payment Failure,No,5
S102,U1078490,Refund Delay,Yes,7
S103,U1055009,App Crash,Yes,8
S104,U1048946,Login Issue,Yes,5
S105,U1011438,Login Issue,No,9
S106,U1015627,Refund Delay,Yes,7
S107,U1034002,App Crash,Yes,2
S108,U1025946,Refund Delay,No,2
S109,U1043786,Login Issue,Yes,9
S110,U1053447,Payment Failure,Yes,9
S111,U1019336,Payment Failure,Yes,5
S112,U1058198,Payment Failure,Yes,1
S113,U1027519,Payment Failure,Yes,8
S114,U1020266,Login Issue,Yes,5
S115,U1032786,Login Issue,Yes,1
S116,U1091718,Payment Failure,Yes,3
S117,U1015636,Refund Delay,Yes,8
S118,U1046285,App Crash,Yes,1
S119,U1023818,App Crash,Yes,1
S120,U1083164,Login Issue,Yes,5
S121,U1009597,App Crash,Yes,9
S122,U1056458,App Crash,Yes,1
S123,U1043231,Payment Failure,Yes,5
S124,U1086007,Refund Delay,Yes,5
S125,U1084326,Refund Delay,Yes,4
S126,U1094958,Refund Delay,Yes,5
S127,U1096195,App Crash,Yes,1
S128,U1047340,Refund Delay,Yes,1
S129,U1082291,Refund Delay,Yes,2
S130,U1005029,App Crash,No,5
S131,U1052299,Payment Failure,Yes,9
S132,U1046605,App Crash,Yes,9
S133,U1090061,Refund Delay,Yes,4
S134,U1066988,App Crash,Yes,8
S135,U1006251,App Crash,Yes,3
S136,U1065094,Login Issue,Yes,3
S137,U1008835,Login Issue,Yes,6
S138,U1081527,Payment Failure,Yes,9
S139,U1079405,Refund Delay,Yes,7
S140,U1032644,Payment Failure,No,2
S141,U1097834,Login Issue,No,3
S142,U1063512,Refund Delay,Yes,2
S143,U1097511,App Crash,Yes,7
S144,U1033193,Login Issue,Yes,7
S145,U1061126,Refund Delay,Yes,5
S146,U1071909,App Crash,Yes,3
S147,U1056914,Payment Failure,Yes,1
S148,U1069829,App Crash,Yes,4
S149,U1097716,Refund Delay,Yes,1
S150,U1024448,App Crash,Yes,2
S151,U1050787,Payment Failure,Yes,7
S152,U1021634,Payment Failure,Yes,5
S153,U1038146,App Crash,Yes,7
S154,U1002294,Login Issue,Yes,9
S155,U1014304,Login Issue,Yes,9
S156,U1023484,Payment Failure,Yes,1
S157,U1090891,Payment Failure,Yes,5
S158,U1033594,Payment Failure,Yes,6
S159,U1086423,Refund Delay,Yes,9
S160,U1093939,Payment Failure,Yes,7
S161,U1026449,App Crash,Yes,5
S162,U1028691,Payment Failure,Yes,6
S163,U1015100,Refund Delay,No,4
S164,U1032771,Payment Failure,Yes,6
S165,U1099106,App Crash,No,5
S166,U1097587,Login Issue,Yes,8
S167,U1047604,App Crash,Yes,2
