user_id,last_active_date,avg_session_time,failed_txns,total_logins
U1000000,2025-05-23,11.14,1,178
U1000001,2025-08-29,7.54,1,171
U1000002,2025-10-17,12.09,0,91
U1000003,2025-08-10,8.48,0,111
U1000004,2025-08-06,8.38,2,178
U1000005,2025-07-19,15.37,2,19
U1000006,2025-10-23,9.16,1,20
U1000007,2025-07-07,8.86,0,23
U1000008,2025-06-26,12.4,1,240
U1000009,2025-05-17,8.58,1,116
U1000010,2025-08-13,9.09,0,272
U1000011,2025-06-15,4.45,1,65
U1000012,2025-07-19,8.97,0,70
U1000013,2025-07-15,4.19,1,86
U1000014,2025-06-23,7.38,2,70
U1000015,2025-08-23,6.75,1,63
U1000016,2025-05-21,5.63,3,106
U1000017,2025-07-09,12.21,1,63
U1000018,2025-08-15,5.0,3,124
U1000019,2025-05-21,6.54,1,33
U1000020,2025-08-28,9.23,1,176
U1000021,2025-07-17,12.72,2,50
U1000022,2025-09-02,14.07,1,211
U1000023,2025-05-28,11.23,3,158
U1000024,2025-06-07,8.28,2,214
U1000025,2025-08-04,2.26,0,117
U1000026,2025-08-17,2.59,2,84
U1000027,2025-05-19,6.0,0,124
U1000028,2025-08-30,12.24,1,169
U1000029,2025-10-11,7.14,2,116
U1000030,2025-07-24,9.8,1,115
U1000031,2025-06-05,10.15,0,254
U1000032,2025-08-15,11.06,2,197
U1000033,2025-05-05,16.79,2,244
U1000034,2025-10-15,5.53,1,19
U1000035,2025-08-17,7.03,0,62
U1000036,2025-08-26,7.33,3,26
U1000037,2025-09-03,6.73,0,263
U1000038,2025-09-22,10.31,1,104
U1000039,2025-06-15,5.82,0,279
U1000040,2025-07-19,8.34,1,32
U1000041,2025-07-01,8.51,2,248
U1000042,2025-05-30,5.3,2,156
U1000043,2025-07-17,9.61,1,281
U1000044,2025-10-21,6.4,1,255
U1000045,2025-05-12,9.94,1,260
U1000046,2025-05-02,9.04,2,55
U1000047,2025-06-04,6.92,2,63
U1000048,2025-05-13,1.97,0,94
U1000049,2025-09-03,10.72,1,251
U1000050,2025-08-04,15.54,1,265
U1000051,2025-07-20,9.75,1,137
U1000052,2025-09-08,9.69,2,277
U1000053,2025-06-22,7.74,0,97
U1000054,2025-09-15,6.3,1,288
U1000055,2025-08-07,19.44,1,41
U1000056,2025-08-04,8.16,0,79
U1000057,2025-07-23,7.91,3,269
U1000058,2025-10-10,7.62,1,98
U1000059,2025-08-15,9.5,1,220
U1000060,2025-07-15,6.7,1,224
U1000061,2025-05-24,5.31,0,290
U1000062,2025-08-23,6.84,3,56
U1000063,2025-05-06,10.21,1,89
U1000064,2025-07-26,6.65,2,15
U1000065,2025-05-20,7.05,0,261
U1000066,2025-10-12,6.36,1,38
U1000067,2025-09-17,7.52,1,209
U1000068,2025-05-02,10.33,1,35
U1000069,2025-09-19,8.96,1,125
U1000070,2025-09-19,10.92,1,28
U1000071,2025-09-29,9.51,0,55
U1000072,2025-07-27,6.61,0,242
U1000073,2025-08-27,6.05,1,54
U1000074,2025-08-06,7.77,1,281
U1000075,2025-07-08,4.95,0,109
U1000076,2025-10-13,11.91,1,260
U1000077,2025-09-02,9.65,1,181
U1000078,2025-07-14,8.1,1,30
U1000079,2025-06-11,5.55,0,107
U1000080,2025-05-30,8.55,0,23
U1000081,2025-10-19,5.09,3,139
U1000082,2025-08-28,7.78,2,108
U1000083,2025-07-06,13.91,2,151
U1000084,2025-10-01,7.08,0,199
U1000085,2025-09-13,6.24,1,142
U1000086,2025-06-04,5.84,1,75
U1000087,2025-05-16,5.9,8,211
U1000088,2025-06-18,4.76,1,109
U1000089,2025-09-03,11.23,5,219
U1000090,2025-05-16,8.62,0,80
U1000091,2025-05-31,5.87,3,73
U1000092,2025-08-21,7.93,0,211
U1000093,2025-06-21,6.15,1,68
U1000094,2025-05-21,6.5,2,15
U1000095,2025-06-25,3.88,1,279
U1000096,2025-05-26,11.33,0,148
U1000097,2025-06-27,10.65,2,248
U1000098,2025-05-09,10.05,1,210
U1000099,2025-05-20,9.47,1,178
U1000100,2025-08-30,6.56,1,197
U1000101,2025-07-16,12.31,1,58
U1000102,2025-06-15,10.64,3,110
U1000103,2025-07-30,8.52,1,13
U1000104,2025-05-19,11.39,1,157
U1000105,2025-07-15,13.54,0,281
U1000106,2025-09-09,12.25,3,299
U1000107,2025-05-06,10.35,1,248
U1000108,2025-05-05,7.77,2,281
U1000109,2025-10-17,6.38,3,274
U1000110,2025-10-04,3.34,2,145
U1000111,2025-05-12,4.35,1,132
U1000112,2025-10-20,6.82,3,183
U1000113,2025-05-01,9.53,0,78
U1000114,2025-08-31,2.82,0,216
U1000115,2025-10-07,10.37,1,24
U1000116,2025-08-25,7.83,0,93
U1000117,2025-05-07,7.19,2,259
U1000118,2025-08-20,8.85,2,298
U1000119,2025-09-05,3.53,1,206
U1000120,2025-07-09,11.46,2,193
U1000121,2025-10-21,8.53,1,250
U1000122,2025-07-29,9.25,2,265
U1000123,2025-06-01,10.01,0,295
U1000124,2025-09-12,7.82,1,238
U1000125,2025-07-10,2.32,0,210
U1000126,2025-09-19,13.59,3,77
U1000127,2025-05-23,1.47,0,168
U1000128,2025-05-08,2.92,2,223
U1000129,2025-09-08,8.26,1,231
U1000130,2025-10-24,11.57,2,214
U1000131,2025-10-26,4.87,1,119
U1000132,2025-10-02,8.51,1,223
U1000133,2025-07-28,9.54,2,42
U1000134,2025-05-14,11.73,1,123
U1000135,2025-08-04,9.07,0,183
U1000136,2025-07-25,5.01,3,180
U1000137,2025-06-04,7.45,3,39
U1000138,2025-09-07,3.22,0,63
U1000139,2025-06-10,4.68,0,237
U1000140,2025-10-11,14.44,3,293
U1000141,2025-05-21,11.45,1,232
U1000142,2025-07-19,6.93,2,174
U1000143,2025-09-05,6.87,2,10
U1000144,2025-10-23,10.06,0,35
U1000145,2025-07-15,12.32,1,284
U1000146,2025-05-10,14.23,1,214
U1000147,2025-06-08,8.25,0,71
U1000148,2025-06-02,7.22,1,259
U1000149,2025-09-27,7.2,0,56
U1000150,2025-06-21,3.25,2,66
U1000151,2025-08-28,4.79,0,258
U1000152,2025-05-29,11.56,0,166
U1000153,2025-05-14,9.69,1,181
U1000154,2025-05-05,3.92,1,29
U1000155,2025-08-17,5.25,4,161
U1000156,2025-06-26,11.99,1,191
U1000157,2025-07-18,9.4,0,198
U1000158,2025-06-17,12.9,0,30
U1000159,2025-07-10,8.78,1,218
U1000160,2025-05-07,2.23,1,194
U1000161,2025-06-24,11.26,1,132
U1000162,2025-08-20,13.45,1,134
U1000163,2025-10-12,9.01,1,288
U1000164,2025-07-10,3.19,1,139
U1000165,2025-06-19,3.45,2,251
U1000166,2025-07-01,10.28,0,136
U1000167,2025-08-15,10.57,2,254
U1000168,2025-05-31,9.13,0,282
U1000169,2025-07-25,4.04,0,143
U1000170,2025-06-26,3.39,1,234
U1000171,2025-06-06,10.93,2,44
U1000172,2025-10-17,11.41,0,185
U1000173,2025-05-05,5.22,0,225
U1000174,2025-06-28,9.27,1,156
U1000175,2025-08-06,5.33,4,100
U1000176,2025-06-27,11.97,0,244
U1000177,2025-06-26,9.78,2,126
U1000178,2025-08-09,6.3,2,41
U1000179,2025-08-08,6.75,2,257
U1000180,2025-09-12,12.59,0,50
U1000181,2025-06-07,7.25,2,217
U1000182,2025-06-30,7.63,4,55
U1000183,2025-05-13,12.09,1,267
U1000184,2025-10-22,10.31,0,151
U1000185,2025-09-02,11.47,1,189
U1000186,2025-06-02,12.49,0,297
U1000187,2025-06-28,4.25,1,56
U1000188,2025-06-28,10.68,1,191
U1000189,2025-05-08,6.68,1,259
U1000190,2025-10-09,8.74,4,149
U1000191,2025-08-25,11.74,1,117
U1000192,2025-09-03,10.96,0,204
U1000193,2025-09-05,2.73,0,287
U1000194,2025-09-15,10.37,2,120
U1000195,2025-10-19,6.01,1,12
U1000196,2025-08-30,8.41,0,279
