user_id,age,gender,region,signup_date
U1000000,56,Male,South,2024-03-07
U1000001,46,Female,South,2023-01-22
U1000002,32,Male,South,2022-11-16
U1000003,25,Male,South,2024-05-25
U1000004,38,Female,East,2023-05-29
U1000005,56,Female,East,2023-05-06
U1000006,36,Male,East,2023-04-19
U1000007,40,Male,South,2023-02-13
U1000008,28,Male,South,2024-05-22
U1000009,28,Male,West,2023-01-15
U1000010,41,Male,East,2024-04-05
U1000011,53,Female,South,2024-05-25
U1000012,57,Female,West,2024-09-19
U1000013,41,Female,East,2023-12-25
U1000014,20,Female,West,2023-01-03
U1000015,39,Male,South,2024-01-29
U1000016,19,Male,North,2023-09-20
U1000017,41,Female,North,2022-11-21
U1000018,47,Male,North,2022-11-20
U1000019,55,Male,North,2023-01-08
U1000020,19,Female,East,2023-04-15
U1000021,38,Male,South,2023-04-26
U1000022,50,Female,West,2023-11-24
U1000023,29,Female,West,2024-02-07
U1000024,39,Male,North,2022-11-17
U1000025,42,Male,South,2024-01-06
U1000026,44,Female,North,2023-03-31
U1000027,59,Male,South,2024-05-06
U1000028,45,Male,North,2024-03-15
U1000029,33,Female,East,2024-04-24
U1000030,32,Male,West,2023-12-25
U1000031,20,Female,South,2023-09-18
U1000032,54,Male,West,2023-04-17
U1000033,24,Male,North,2023-10-11
U1000034,38,Female,East,2024-01-28
U1000035,26,Male,West,2023-06-01
U1000036,56,Female,South,2024-07-17
U1000037,35,Male,West,2024-09-02
U1000038,21,Male,West,2022-11-02
U1000039,42,Male,East,2024-06-08
U1000040,31,Female,West,2024-07-14
U1000041,26,Male,South,2023-03-01
U1000042,43,Male,West,2024-04-22
U1000043,19,Female,East,2023-09-21
U1000044,37,Female,East,2023-07-19
U1000045,45,Male,West,2023-05-31
U1000046,24,Female,North,2023-02-25
U1000047,25,Female,North,2023-04-13
U1000048,52,Female,East,2024-06-12
U1000049,31,Male,South,2023-07-16
U1000050,34,Male,North,2023-01-15
U1000051,53,Male,West,2023-01-08
U1000052,57,Female,North,2023-08-19
U1000053,21,Male,East,2023-01-11
U1000054,19,Male,East,2023-08-02
U1000055,23,Female,East,2024-08-16
U1000056,59,Female,North,2023-07-22
